pm2.5,pm10,o3,no2,so2,co
86.0,68.0,2.0,4.0,2.0,3.0
104.0,132.0,2.0,3.0,2.0,3.0
132.0,102.0,3.0,4.0,2.0,3.0
135.0,174.0,3.0,5.0,3.0,4.0
159.0,163.0,6.0,6.0,3.0,5.0
155.0,237.0,9.0,8.0,3.0,2.0
147.0,248.0,7.0,8.0,3.0,3.0
156.0,235.0,12.0,11.0,3.0,6.0
160.0,276.0,13.0,9.0,3.0,3.0
148.0,277.0,17.0,12.0,4.0,3.0
140.0,171.0,30.0,14.0,3.0,7.0
129.0,166.0,15.0,12.0,4.0,5.0
166.0,201.0,20.0,16.0,3.0,17.0
151.0,159.0,24.0,16.0,4.0,12.0
141.0,138.0,12.0,11.0,3.0,12.0
164.0,135.0,7.0,10.0,3.0,15.0
147.0,145.0,10.0,10.0,2.0,10.0
153.0,112.0,11.0,9.0,2.0,10.0
158.0,133.0,4.0,6.0,2.0,9.0
166.0,185.0,6.0,8.0,2.0,10.0
180.0,111.0,6.0,8.0,2.0,11.0
169.0,110.0,21.0,10.0,2.0,16.0
136.0,92.0,8.0,11.0,2.0,13.0
98.0,87.0,7.0,9.0,2.0,11.0
157.0,73.0,17.0,6.0,2.0,9.0
159.0,103.0,7.0,11.0,1.0,9.0
166.0,172.0,4.0,10.0,1.0,9.0
162.0,146.0,3.0,14.0,1.0,9.0
150.0,115.0,11.0,14.0,1.0,9.0
140.0,116.0,21.0,12.0,1.0,9.0
165.0,104.0,8.0,9.0,2.0,9.0
182.0,209.0,5.0,13.0,2.0,9.0
187.0,187.0,13.0,21.0,4.0,9.0
161.0,157.0,3.0,22.0,4.0,8.0
155.0,97.0,9.0,10.0,3.0,9.0
151.0,105.0,15.0,11.0,2.0,10.0
158.0,95.0,21.0,10.0,2.0,5.0
155.0,103.0,13.0,9.0,2.0,4.0
166.0,99.0,19.0,9.0,2.0,8.0
167.0,122.0,31.0,13.0,3.0,4.0
189.0,130.0,31.0,22.0,3.0,10.0
149.0,162.0,27.0,19.0,3.0,7.0
150.0,96.0,29.0,16.0,3.0,10.0
170.0,112.0,14.0,9.0,2.0,8.0
159.0,191.0,19.0,8.0,3.0,9.0
175.0,143.0,24.0,10.0,3.0,42.0
217.0,180.0,21.0,12.0,4.0,33.0
272.0,186.0,28.0,20.0,7.0,9.0
259.0,226.0,32.0,27.0,7.0,8.0
157.0,212.0,34.0,26.0,10.0,9.0
156.0,123.0,30.0,19.0,4.0,8.0
193.0,222.0,27.0,12.0,2.0,7.0
195.0,154.0,34.0,15.0,4.0,5.0
145.0,153.0,30.0,21.0,4.0,7.0
180.0,125.0,34.0,17.0,3.0,7.0
168.0,250.0,9.0,14.0,4.0,7.0
250.0,145.0,19.0,8.0,6.0,7.0
187.0,243.0,21.0,2.0,9.0,7.0
202.0,186.0,30.0,3.0,6.0,7.0
165.0,172.0,7.0,3.0,7.0,7.0
196.0,225.0,19.0,0.0,6.0,3.0
191.0,241.0,21.0,3.0,6.0,6.0
211.0,225.0,20.0,2.0,7.0,6.0
199.0,236.0,28.0,3.0,11.0,7.0
209.0,255.0,35.0,2.0,9.0,6.0
222.0,228.0,24.0,3.0,10.0,8.0
199.0,265.0,31.0,2.0,11.0,14.0
192.0,229.0,30.0,2.0,8.0,14.0
208.0,194.0,28.0,2.0,9.0,11.0
176.0,238.0,29.0,2.0,9.0,1.0
187.0,199.0,33.0,2.0,5.0,4.0
122.0,214.0,37.0,3.0,8.0,8.0
208.0,142.0,23.0,2.0,4.0,7.0
219.0,232.0,31.0,2.0,8.0,5.0
233.0,297.0,33.0,2.0,11.0,4.0
195.0,296.0,25.0,1.0,11.0,6.0
174.0,242.0,26.0,2.0,7.0,8.0
191.0,217.0,14.0,3.0,8.0,15.0
170.0,162.0,22.0,0.0,8.0,7.0
195.0,145.0,19.0,7.0,5.0,13.0
190.0,242.0,17.0,16.0,6.0,8.0
159.0,196.0,25.0,14.0,6.0,8.0
186.0,128.0,21.0,10.0,4.0,6.0
159.0,150.0,26.0,10.0,5.0,7.0
181.0,120.0,28.0,14.0,4.0,5.0
204.0,127.0,30.0,12.0,4.0,7.0
191.0,128.0,24.0,9.0,3.0,6.0
165.0,144.0,29.0,14.0,6.0,8.0
195.0,147.0,20.0,10.0,5.0,5.0
192.0,166.0,24.0,16.0,6.0,5.0
162.0,224.0,30.0,16.0,6.0,6.0
170.0,126.0,26.0,12.0,6.0,5.0
140.0,127.0,25.0,10.0,5.0,6.0
144.0,122.0,20.0,12.0,4.0,6.0
133.0,112.0,19.0,10.0,3.0,16.0
213.0,125.0,16.0,11.0,5.0,23.0
214.0,226.0,16.0,17.0,5.0,4.0
147.0,135.0,27.0,15.0,5.0,10.0
158.0,100.0,19.0,10.0,3.0,10.0
169.0,118.0,15.0,10.0,3.0,9.0
171.0,152.0,23.0,14.0,3.0,9.0
170.0,159.0,14.0,14.0,4.0,10.0
126.0,121.0,29.0,5.0,3.0,6.0
114.0,91.0,13.0,3.0,3.0,7.0
86.0,77.0,12.0,1.0,2.0,5.0
217.0,85.0,10.0,1.0,2.0,7.0
231.0,236.0,18.0,3.0,3.0,11.0
187.0,246.0,16.0,4.0,3.0,11.0
202.0,161.0,3.0,3.0,3.0,16.0
164.0,236.0,15.0,0.0,3.0,9.0
167.0,161.0,3.0,2.0,2.0,14.0
168.0,124.0,1.0,2.0,1.0,8.0
169.0,125.0,1.0,2.0,1.0,7.0
168.0,161.0,1.0,3.0,1.0,5.0
265.0,132.0,3.0,6.0,2.0,4.0
183.0,289.0,2.0,10.0,2.0,15.0
229.0,188.0,5.0,11.0,2.0,11.0
223.0,250.0,11.0,10.0,3.0,16.0
167.0,238.0,10.0,11.0,3.0,15.0
163.0,136.0,10.0,9.0,2.0,11.0
171.0,132.0,10.0,9.0,2.0,10.0
186.0,126.0,6.0,8.0,2.0,6.0
249.0,145.0,9.0,7.0,2.0,5.0
220.0,269.0,12.0,14.0,2.0,12.0
320.0,198.0,11.0,13.0,2.0,12.0
220.0,374.0,12.0,14.0,2.0,25.0
145.0,179.0,9.0,9.0,2.0,12.0
226.0,77.0,6.0,6.0,2.0,9.0
247.0,138.0,8.0,7.0,2.0,11.0
285.0,187.0,16.0,10.0,2.0,10.0
318.0,222.0,5.0,12.0,2.0,8.0
226.0,295.0,8.0,15.0,2.0,19.0
194.0,173.0,12.0,12.0,3.0,8.0
205.0,148.0,11.0,14.0,2.0,9.0
214.0,165.0,9.0,12.0,2.0,10.0
207.0,151.0,6.0,11.0,1.0,7.0
213.0,144.0,2.0,9.0,1.0,5.0
199.0,161.0,2.0,9.0,2.0,11.0
206.0,131.0,2.0,10.0,1.0,5.0
211.0,120.0,2.0,6.0,1.0,14.0
375.0,279.0,5.0,15.0,1.0,8.0
257.0,377.0,3.0,15.0,2.0,14.0
270.0,206.0,2.0,13.0,1.0,12.0
288.0,201.0,2.0,13.0,1.0,8.0
208.0,237.0,4.0,16.0,1.0,12.0
188.0,129.0,3.0,10.0,1.0,9.0
265.0,112.0,2.0,9.0,1.0,7.0
261.0,203.0,2.0,14.0,2.0,12.0
197.0,193.0,2.0,15.0,1.0,12.0
178.0,134.0,2.0,13.0,1.0,10.0
179.0,106.0,2.0,12.0,1.0,8.0
143.0,98.0,2.0,9.0,1.0,10.0
149.0,55.0,2.0,5.0,1.0,7.0
167.0,58.0,3.0,6.0,1.0,8.0
204.0,96.0,2.0,9.0,1.0,8.0
362.0,132.0,2.0,11.0,1.0,10.0
332.0,304.0,5.0,16.0,1.0,14.0
337.0,387.0,2.0,22.0,2.0,17.0
330.0,332.0,3.0,22.0,1.0,17.0
259.0,394.0,3.0,23.0,2.0,29.0
230.0,244.0,3.0,19.0,1.0,10.0
208.0,221.0,2.0,19.0,1.0,9.0
220.0,153.0,2.0,14.0,1.0,15.0
195.0,154.0,2.0,17.0,2.0,12.0
471.0,143.0,1.0,15.0,1.0,13.0
464.0,505.0,2.0,20.0,2.0,11.0
395.0,535.0,2.0,27.0,1.0,15.0
496.0,456.0,2.0,23.0,2.0,15.0
412.0,642.0,10.0,30.0,2.0,34.0
431.0,480.0,2.0,32.0,2.0,23.0
303.0,556.0,2.0,28.0,2.0,26.0
212.0,281.0,2.0,23.0,2.0,18.0
204.0,151.0,2.0,17.0,2.0,11.0
217.0,141.0,1.0,19.0,1.0,11.0
288.0,151.0,1.0,18.0,1.0,9.0
253.0,244.0,2.0,23.0,1.0,14.0
330.0,204.0,1.0,22.0,1.0,12.0
313.0,354.0,5.0,25.0,1.0,19.0
244.0,345.0,5.0,23.0,2.0,20.0
205.0,249.0,1.0,22.0,2.0,31.0
230.0,168.0,1.0,19.0,2.0,13.0
240.0,182.0,1.0,20.0,2.0,13.0
191.0,217.0,1.0,20.0,2.0,11.0
177.0,158.0,1.0,17.0,1.0,14.0
211.0,133.0,1.0,15.0,1.0,10.0
295.0,161.0,1.0,16.0,1.0,8.0
278.0,314.0,20.0,25.0,1.0,18.0
274.0,290.0,3.0,20.0,3.0,21.0
347.0,232.0,2.0,17.0,2.0,16.0
359.0,317.0,0.0,17.0,2.0,9.0
253.0,440.0,2.0,28.0,2.0,7.0
306.0,274.0,7.0,22.0,3.0,18.0
374.0,329.0,5.0,21.0,3.0,16.0
375.0,399.0,15.0,23.0,3.0,12.0
415.0,479.0,27.0,28.0,3.0,23.0
368.0,568.0,11.0,29.0,4.0,20.0
353.0,505.0,12.0,38.0,4.0,22.0
256.0,437.0,15.0,34.0,4.0,18.0
204.0,340.0,15.0,22.0,6.0,25.0
258.0,189.0,14.0,17.0,4.0,8.0
301.0,234.0,16.0,22.0,3.0,8.0
338.0,333.0,16.0,28.0,5.0,14.0
319.0,393.0,16.0,29.0,6.0,16.0
322.0,420.0,16.0,29.0,4.0,22.0
348.0,421.0,13.0,24.0,5.0,19.0
302.0,397.0,13.0,25.0,6.0,15.0
294.0,359.0,13.0,28.0,5.0,18.0
358.0,389.0,18.0,29.0,6.0,19.0
492.0,473.0,8.0,29.0,4.0,20.0
436.0,712.0,12.0,31.0,4.0,23.0
308.0,618.0,5.0,33.0,5.0,25.0
368.0,401.0,24.0,28.0,5.0,15.0
357.0,443.0,16.0,28.0,7.0,12.0
363.0,414.0,18.0,27.0,5.0,13.0
376.0,409.0,18.0,24.0,4.0,12.0
524.0,374.0,15.0,22.0,4.0,4.0
430.0,555.0,15.0,19.0,7.0,11.0
255.0,451.0,20.0,22.0,4.0,13.0
210.0,354.0,25.0,26.0,3.0,14.0
208.0,274.0,22.0,24.0,2.0,11.0
160.0,307.0,22.0,26.0,3.0,11.0
132.0,275.0,20.0,21.0,5.0,15.0
164.0,202.0,15.0,23.0,4.0,9.0
158.0,273.0,23.0,23.0,5.0,8.0
160.0,234.0,21.0,21.0,4.0,15.0
148.0,169.0,25.0,17.0,4.0,6.0
117.0,122.0,19.0,14.0,2.0,5.0
152.0,88.0,16.0,12.0,2.0,8.0
128.0,110.0,23.0,11.0,2.0,4.0
126.0,151.0,19.0,13.0,2.0,8.0
160.0,180.0,13.0,14.0,2.0,12.0
161.0,227.0,16.0,15.0,1.0,5.0
121.0,180.0,20.0,15.0,1.0,9.0
55.0,98.0,14.0,9.0,1.0,5.0
102.0,35.0,5.0,5.0,1.0,5.0
172.0,163.0,4.0,8.0,1.0,5.0
158.0,251.0,27.0,17.0,2.0,7.0
157.0,145.0,34.0,15.0,2.0,6.0
160.0,142.0,23.0,15.0,2.0,4.0
141.0,150.0,23.0,12.0,1.0,4.0
136.0,202.0,4.0,11.0,1.0,6.0
142.0,147.0,16.0,10.0,1.0,5.0
145.0,167.0,22.0,12.0,1.0,5.0
156.0,164.0,19.0,14.0,2.0,5.0
159.0,148.0,18.0,15.0,3.0,6.0
141.0,109.0,8.0,11.0,1.0,4.0
136.0,88.0,2.0,8.0,1.0,3.0
85.0,107.0,2.0,9.0,1.0,3.0
135.0,89.0,1.0,5.0,1.0,0.0
144.0,99.0,3.0,7.0,1.0,3.0
144.0,101.0,3.0,8.0,1.0,3.0
119.0,91.0,2.0,8.0,1.0,3.0
120.0,97.0,9.0,8.0,1.0,3.0
148.0,119.0,16.0,10.0,1.0,5.0
138.0,101.0,12.0,13.0,1.0,5.0
99.0,77.0,2.0,5.0,1.0,5.0
105.0,82.0,2.0,6.0,1.0,7.0
110.0,81.0,3.0,6.0,1.0,8.0
117.0,91.0,3.0,6.0,1.0,5.0
125.0,94.0,4.0,7.0,1.0,5.0
83.0,101.0,5.0,7.0,1.0,7.0
98.0,71.0,4.0,6.0,1.0,5.0
84.0,74.0,15.0,7.0,1.0,7.0
88.0,82.0,3.0,6.0,1.0,6.0
117.0,75.0,1.0,4.0,1.0,7.0
122.0,80.0,3.0,5.0,1.0,6.0
90.0,73.0,4.0,6.0,1.0,7.0
129.0,41.0,3.0,5.0,2.0,6.0
112.0,95.0,9.0,5.0,2.0,6.0
88.0,98.0,6.0,6.0,2.0,7.0
134.0,81.0,10.0,4.0,2.0,6.0
140.0,88.0,3.0,4.0,1.0,5.0
130.0,129.0,7.0,8.0,1.0,8.0
101.0,90.0,3.0,7.0,2.0,6.0
98.0,78.0,6.0,6.0,2.0,8.0
111.0,67.0,3.0,5.0,1.0,8.0
81.0,59.0,2.0,4.0,1.0,5.0
106.0,43.0,2.0,4.0,1.0,6.0
96.0,64.0,1.0,6.0,1.0,7.0
158.0,64.0,2.0,4.0,2.0,4.0
142.0,123.0,3.0,7.0,2.0,5.0
118.0,139.0,3.0,9.0,2.0,8.0
100.0,130.0,4.0,9.0,1.0,4.0
108.0,115.0,2.0,9.0,1.0,5.0
149.0,109.0,2.0,7.0,1.0,3.0
135.0,108.0,2.0,9.0,1.0,7.0
144.0,85.0,5.0,9.0,1.0,7.0
104.0,78.0,3.0,6.0,1.0,9.0
94.0,51.0,3.0,7.0,1.0,7.0
157.0,73.0,5.0,5.0,2.0,6.0
153.0,148.0,6.0,10.0,2.0,8.0
147.0,129.0,7.0,9.0,2.0,6.0
120.0,140.0,5.0,8.0,1.0,6.0
108.0,116.0,4.0,7.0,2.0,5.0
109.0,100.0,4.0,6.0,1.0,4.0
130.0,122.0,3.0,7.0,1.0,5.0
107.0,137.0,6.0,8.0,2.0,5.0
129.0,132.0,3.0,9.0,1.0,9.0
133.0,105.0,5.0,7.0,2.0,4.0
166.0,85.0,2.0,9.0,2.0,7.0
133.0,93.0,2.0,9.0,1.0,7.0
125.0,86.0,1.0,9.0,2.0,6.0
118.0,86.0,3.0,8.0,1.0,6.0
112.0,79.0,8.0,8.0,1.0,4.0
121.0,89.0,6.0,9.0,1.0,6.0
113.0,88.0,3.0,9.0,1.0,6.0
124.0,66.0,3.0,10.0,1.0,6.0
119.0,56.0,7.0,10.0,1.0,6.0
144.0,80.0,8.0,9.0,1.0,7.0
115.0,67.0,4.0,9.0,1.0,5.0
93.0,73.0,4.0,10.0,1.0,6.0
148.0,42.0,3.0,9.0,1.0,5.0
167.0,64.0,3.0,10.0,1.0,5.0
135.0,101.0,8.0,9.0,1.0,6.0
169.0,94.0,28.0,9.0,1.0,2.0
149.0,102.0,7.0,12.0,1.0,5.0
127.0,94.0,3.0,10.0,1.0,8.0
183.0,83.0,5.0,11.0,1.0,8.0
123.0,85.0,3.0,9.0,1.0,7.0
140.0,43.0,2.0,11.0,1.0,7.0
154.0,106.0,7.0,12.0,2.0,7.0
149.0,103.0,10.0,8.0,1.0,5.0
133.0,104.0,25.0,10.0,1.0,6.0
118.0,80.0,14.0,7.0,1.0,6.0
91.0,61.0,12.0,8.0,1.0,7.0
128.0,66.0,5.0,9.0,1.0,7.0
134.0,81.0,7.0,4.0,2.0,5.0
108.0,88.0,7.0,5.0,2.0,4.0
129.0,125.0,50.0,6.0,1.0,5.0
104.0,94.0,25.0,7.0,1.0,6.0
115.0,159.0,18.0,8.0,2.0,5.0
104.0,134.0,8.0,10.0,1.0,5.0
131.0,122.0,11.0,9.0,1.0,5.0
136.0,122.0,7.0,9.0,1.0,5.0
129.0,137.0,8.0,11.0,1.0,4.0
158.0,152.0,6.0,8.0,2.0,4.0
126.0,249.0,6.0,7.0,2.0,3.0
149.0,261.0,7.0,11.0,3.0,4.0
152.0,151.0,13.0,14.0,2.0,7.0
168.0,112.0,13.0,9.0,2.0,6.0
124.0,137.0,11.0,9.0,1.0,4.0
138.0,107.0,11.0,11.0,1.0,8.0
138.0,139.0,10.0,9.0,2.0,5.0
161.0,134.0,7.0,7.0,1.0,6.0
121.0,227.0,16.0,12.0,2.0,7.0
126.0,109.0,3.0,10.0,2.0,5.0
99.0,81.0,10.0,7.0,1.0,6.0
88.0,57.0,4.0,5.0,1.0,3.0
91.0,61.0,6.0,6.0,1.0,5.0
145.0,70.0,7.0,6.0,1.0,5.0
115.0,102.0,10.0,8.0,1.0,6.0
108.0,75.0,8.0,8.0,1.0,5.0
112.0,96.0,9.0,6.0,1.0,4.0
114.0,82.0,14.0,8.0,1.0,4.0
114.0,73.0,7.0,8.0,1.0,5.0
106.0,88.0,8.0,6.0,1.0,5.0
148.0,101.0,8.0,8.0,1.0,6.0
131.0,163.0,6.0,7.0,2.0,5.0
148.0,250.0,4.0,9.0,1.0,4.0
153.0,343.0,4.0,11.0,3.0,11.0
133.0,141.0,12.0,12.0,2.0,4.0
126.0,122.0,23.0,10.0,2.0,5.0
237.0,201.0,23.0,9.0,2.0,6.0
185.0,200.0,10.0,10.0,1.0,5.0
157.0,128.0,18.0,10.0,2.0,7.0
84.0,109.0,6.0,9.0,2.0,3.0
102.0,122.0,8.0,7.0,1.0,5.0
76.0,103.0,19.0,8.0,2.0,6.0
130.0,105.0,30.0,7.0,1.0,7.0
106.0,111.0,30.0,11.0,2.0,8.0
121.0,96.0,24.0,10.0,2.0,5.0
189.0,97.0,20.0,8.0,1.0,3.0
84.0,387.0,11.0,6.0,1.0,2.0
105.0,60.0,17.0,6.0,1.0,3.0
96.0,62.0,6.0,7.0,1.0,4.0
116.0,60.0,9.0,6.0,1.0,5.0
77.0,50.0,4.0,6.0,2.0,3.0
175.0,59.0,6.0,6.0,1.0,3.0
148.0,155.0,21.0,15.0,3.0,5.0
104.0,105.0,28.0,11.0,3.0,6.0
119.0,133.0,18.0,9.0,2.0,4.0
106.0,82.0,11.0,7.0,2.0,3.0
127.0,100.0,18.0,8.0,2.0,1.0
143.0,89.0,28.0,8.0,1.0,6.0
134.0,101.0,27.0,12.0,2.0,7.0
99.0,83.0,21.0,10.0,2.0,7.0
152.0,117.0,13.0,7.0,2.0,6.0
136.0,125.0,23.0,8.0,2.0,7.0
158.0,122.0,18.0,10.0,3.0,6.0
148.0,231.0,18.0,12.0,3.0,7.0
163.0,153.0,25.0,13.0,2.0,7.0
205.0,160.0,35.0,13.0,3.0,6.0
242.0,266.0,26.0,16.0,4.0,8.0
291.0,341.0,27.0,16.0,6.0,8.0
275.0,376.0,29.0,21.0,7.0,11.0
255.0,349.0,30.0,21.0,7.0,14.0
160.0,285.0,30.0,20.0,6.0,12.0
117.0,139.0,25.0,15.0,4.0,8.0
113.0,87.0,22.0,13.0,2.0,6.0
120.0,87.0,16.0,9.0,3.0,6.0
118.0,95.0,26.0,10.0,2.0,5.0
133.0,83.0,18.0,10.0,3.0,5.0
125.0,147.0,21.0,13.0,4.0,5.0
146.0,162.0,17.0,17.0,3.0,10.0
109.0,122.0,26.0,15.0,4.0,7.0
140.0,86.0,15.0,14.0,3.0,6.0
165.0,159.0,2.0,18.0,4.0,7.0
140.0,184.0,19.0,20.0,6.0,8.0
179.0,145.0,18.0,21.0,5.0,7.0
184.0,212.0,20.0,23.0,7.0,9.0
146.0,225.0,24.0,24.0,7.0,10.0
150.0,144.0,22.0,21.0,5.0,9.0
124.0,150.0,24.0,22.0,4.0,9.0
124.0,136.0,18.0,21.0,3.0,9.0
150.0,113.0,20.0,18.0,3.0,8.0
197.0,175.0,24.0,17.0,3.0,7.0
165.0,317.0,37.0,25.0,6.0,10.0
123.0,60.0,12.0,15.0,3.0,8.0
154.0,62.0,7.0,13.0,3.0,6.0
141.0,77.0,15.0,16.0,6.0,7.0
159.0,112.0,4.0,14.0,3.0,7.0
209.0,128.0,7.0,17.0,4.0,10.0
197.0,144.0,16.0,17.0,7.0,10.0
148.0,125.0,14.0,18.0,5.0,10.0
207.0,200.0,17.0,20.0,4.0,11.0
189.0,203.0,9.0,18.0,6.0,9.0
188.0,189.0,4.0,14.0,4.0,9.0
171.0,147.0,8.0,15.0,5.0,9.0
194.0,118.0,9.0,10.0,5.0,9.0
147.0,157.0,8.0,7.0,4.0,11.0
183.0,147.0,4.0,6.0,3.0,8.0
161.0,182.0,2.0,11.0,4.0,12.0
209.0,126.0,1.0,16.0,3.0,11.0
177.0,220.0,2.0,38.0,7.0,12.0
172.0,155.0,2.0,38.0,8.0,11.0
177.0,146.0,3.0,39.0,11.0,16.0
165.0,111.0,2.0,40.0,10.0,11.0
219.0,116.0,3.0,40.0,10.0,11.0
182.0,167.0,5.0,43.0,13.0,21.0
139.0,138.0,3.0,37.0,11.0,13.0
145.0,101.0,3.0,35.0,8.0,8.0
149.0,101.0,5.0,35.0,7.0,9.0
145.0,107.0,3.0,36.0,9.0,10.0
201.0,125.0,3.0,34.0,10.0,12.0
243.0,206.0,4.0,37.0,10.0,14.0
270.0,261.0,3.0,40.0,8.0,21.0
246.0,348.0,9.0,44.0,13.0,26.0
240.0,291.0,2.0,37.0,11.0,20.0
257.0,218.0,2.0,35.0,7.0,15.0
201.0,213.0,2.0,33.0,7.0,15.0
261.0,163.0,4.0,31.0,7.0,17.0
208.0,252.0,7.0,27.0,7.0,19.0
202.0,174.0,10.0,23.0,6.0,17.0
236.0,167.0,14.0,28.0,10.0,16.0
239.0,173.0,4.0,29.0,8.0,15.0
310.0,163.0,15.0,26.0,7.0,18.0
309.0,347.0,4.0,27.0,7.0,30.0
314.0,290.0,6.0,29.0,7.0,25.0
248.0,257.0,6.0,28.0,7.0,18.0
288.0,191.0,6.0,28.0,10.0,17.0
202.0,288.0,7.0,30.0,15.0,19.0
298.0,205.0,8.0,46.0,13.0,19.0
212.0,239.0,3.0,34.0,15.0,16.0
185.0,144.0,4.0,33.0,11.0,14.0
150.0,119.0,3.0,31.0,12.0,11.0
212.0,105.0,6.0,29.0,25.0,12.0
265.0,139.0,2.0,31.0,9.0,12.0
350.0,231.0,2.0,36.0,14.0,17.0
360.0,421.0,5.0,47.0,19.0,24.0
305.0,409.0,4.0,46.0,16.0,25.0
291.0,341.0,6.0,40.0,15.0,22.0
316.0,279.0,2.0,39.0,12.0,20.0
337.0,325.0,3.0,41.0,12.0,16.0
233.0,337.0,11.0,40.0,14.0,21.0
287.0,232.0,53.0,37.0,13.0,20.0
236.0,228.0,54.0,31.0,11.0,13.0
315.0,192.0,17.0,26.0,10.0,18.0
262.0,257.0,14.0,27.0,9.0,17.0
380.0,206.0,16.0,30.0,9.0,14.0
341.0,408.0,5.0,36.0,10.0,25.0
202.0,407.0,7.0,43.0,18.0,24.0
329.0,144.0,9.0,23.0,8.0,13.0
322.0,317.0,6.0,29.0,10.0,21.0
305.0,551.0,7.0,30.0,11.0,49.0
506.0,484.0,4.0,32.0,9.0,1.0
280.0,198.0,24.0,37.0,10.0,59.0
246.0,185.0,17.0,30.0,10.0,20.0
189.0,152.0,17.0,28.0,6.0,28.0
158.0,132.0,7.0,24.0,8.0,19.0
166.0,117.0,8.0,19.0,6.0,16.0
170.0,143.0,8.0,23.0,9.0,23.0
156.0,157.0,9.0,23.0,8.0,26.0
168.0,112.0,9.0,20.0,7.0,22.0
118.0,118.0,19.0,22.0,9.0,26.0
137.0,70.0,23.0,23.0,8.0,23.0
292.0,168.0,7.0,26.0,10.0,35.0
370.0,541.0,11.0,42.0,12.0,49.0
230.0,716.0,11.0,43.0,13.0,69.0
176.0,350.0,8.0,36.0,10.0,42.0
174.0,171.0,10.0,26.0,8.0,34.0
155.0,178.0,14.0,32.0,10.0,30.0
221.0,162.0,8.0,26.0,11.0,17.0
214.0,250.0,13.0,35.0,12.0,13.0
194.0,209.0,11.0,36.0,11.0,14.0
271.0,191.0,8.0,33.0,11.0,13.0
297.0,320.0,10.0,37.0,12.0,32.0
289.0,394.0,13.0,39.0,16.0,41.0
206.0,508.0,14.0,41.0,14.0,37.0
188.0,326.0,20.0,36.0,16.0,28.0
183.0,255.0,14.0,28.0,10.0,18.0
158.0,255.0,16.0,29.0,10.0,18.0
164.0,165.0,16.0,25.0,9.0,16.0
151.0,144.0,11.0,17.0,8.0,14.0
155.0,130.0,11.0,19.0,9.0,14.0
131.0,125.0,11.0,18.0,13.0,13.0
148.0,100.0,10.0,15.0,9.0,12.0
196.0,98.0,10.0,16.0,7.0,14.0
178.0,147.0,15.0,19.0,8.0,20.0
170.0,171.0,18.0,33.0,11.0,22.0
220.0,141.0,25.0,24.0,12.0,20.0
225.0,272.0,17.0,33.0,13.0,33.0
231.0,260.0,22.0,31.0,12.0,29.0
210.0,223.0,18.0,30.0,10.0,27.0
227.0,198.0,18.0,30.0,11.0,24.0
247.0,350.0,21.0,32.0,11.0,27.0
207.0,469.0,31.0,42.0,13.0,38.0
203.0,339.0,23.0,36.0,16.0,29.0
226.0,175.0,15.0,35.0,14.0,25.0
184.0,176.0,16.0,38.0,15.0,26.0
169.0,159.0,17.0,36.0,13.0,19.0
151.0,101.0,26.0,27.0,20.0,17.0
126.0,95.0,13.0,27.0,12.0,16.0
130.0,84.0,10.0,21.0,9.0,14.0
252.0,123.0,10.0,20.0,11.0,16.0
255.0,433.0,26.0,34.0,19.0,28.0
222.0,488.0,11.0,41.0,14.0,35.0
167.0,418.0,20.0,39.0,16.0,33.0
146.0,212.0,17.0,28.0,15.0,21.0
163.0,159.0,18.0,25.0,12.0,18.0
168.0,176.0,20.0,26.0,10.0,18.0
152.0,200.0,22.0,30.0,11.0,20.0
127.0,99.0,24.0,23.0,9.0,17.0
131.0,73.0,10.0,20.0,10.0,16.0
348.0,77.0,11.0,17.0,9.0,16.0
349.0,347.0,28.0,26.0,21.0,27.0
237.0,516.0,19.0,45.0,13.0,34.0
226.0,375.0,15.0,50.0,11.0,29.0
240.0,377.0,12.0,43.0,12.0,27.0
433.0,402.0,14.0,40.0,14.0,29.0
418.0,785.0,21.0,60.0,14.0,35.0
321.0,706.0,19.0,61.0,18.0,33.0
307.0,539.0,20.0,56.0,18.0,28.0
251.0,464.0,18.0,21.0,15.0,28.0
245.0,436.0,15.0,18.0,18.0,28.0
285.0,426.0,15.0,20.0,18.0,25.0
187.0,506.0,10.0,21.0,18.0,29.0
199.0,327.0,11.0,9.0,10.0,25.0
247.0,312.0,25.0,22.0,12.0,19.0
229.0,370.0,30.0,26.0,13.0,22.0
214.0,348.0,27.0,26.0,9.0,21.0
242.0,356.0,31.0,29.0,11.0,20.0
194.0,463.0,43.0,36.0,11.0,26.0
178.0,324.0,31.0,30.0,11.0,17.0
209.0,222.0,28.0,27.0,8.0,19.0
220.0,343.0,26.0,30.0,10.0,19.0
209.0,403.0,20.0,31.0,14.0,25.0
237.0,374.0,18.0,31.0,12.0,22.0
207.0,457.0,29.0,32.0,12.0,18.0
169.0,410.0,29.0,32.0,15.0,24.0
159.0,348.0,21.0,28.0,13.0,23.0
162.0,251.0,27.0,29.0,12.0,17.0
153.0,221.0,26.0,27.0,10.0,15.0
175.0,190.0,22.0,29.0,10.0,11.0
180.0,280.0,27.0,31.0,12.0,15.0
171.0,294.0,13.0,23.0,13.0,20.0
175.0,274.0,20.0,23.0,12.0,14.0
185.0,238.0,7.0,21.0,11.0,27.0
176.0,308.0,19.0,21.0,13.0,20.0
155.0,269.0,20.0,24.0,12.0,18.0
155.0,170.0,3.0,24.0,11.0,15.0
153.0,169.0,30.0,24.0,10.0,13.0
152.0,180.0,35.0,23.0,11.0,15.0
