pm2.5,pm10,o3,no2,so2,co
229.0,282.0,21.0,74.0,0.0,9.0
160.0,198.0,18.0,64.0,1.0,10.0
158.0,142.0,13.0,49.0,2.0,6.0
156.0,158.0,9.0,70.0,0.0,4.0
161.0,153.0,6.0,49.0,1.0,8.0
175.0,183.0,6.0,50.0,1.0,11.0
176.0,211.0,8.0,37.0,1.0,5.0
169.0,201.0,22.0,28.0,0.0,7.0
154.0,165.0,24.0,28.0,0.0,7.0
153.0,147.0,15.0,21.0,0.0,6.0
145.0,148.0,19.0,24.0,0.0,4.0
156.0,137.0,13.0,18.0,0.0,3.0
149.0,127.0,12.0,17.0,0.0,2.0
138.0,119.0,7.0,15.0,0.0,2.0
162.0,118.0,5.0,13.0,1.0,2.0
159.0,128.0,5.0,16.0,2.0,2.0
160.0,111.0,10.0,16.0,2.0,3.0
144.0,133.0,6.0,21.0,1.0,8.0
145.0,113.0,5.0,14.0,1.0,6.0
117.0,101.0,5.0,13.0,1.0,2.0
114.0,102.0,5.0,16.0,1.0,15.0
93.0,96.0,5.0,15.0,1.0,2.0
82.0,102.0,5.0,10.0,1.0,4.0
116.0,110.0,5.0,8.0,2.0,4.0
111.0,113.0,4.0,8.0,2.0,4.0
116.0,92.0,4.0,13.0,1.0,6.0
160.0,94.0,4.0,12.0,1.0,6.0
155.0,130.0,5.0,11.0,1.0,5.0
128.0,125.0,5.0,8.0,1.0,7.0
113.0,124.0,4.0,8.0,1.0,4.0
157.0,78.0,5.0,4.0,1.0,12.0
48.0,34.0,4.0,0.0,1.0,12.0
117.0,44.0,4.0,1.0,1.0,12.0
115.0,89.0,8.0,2.0,2.0,9.0
117.0,93.0,13.0,3.0,2.0,12.0
119.0,97.0,8.0,3.0,2.0,12.0
120.0,93.0,8.0,2.0,2.0,13.0
118.0,103.0,6.0,2.0,2.0,12.0
125.0,116.0,6.0,2.0,1.0,11.0
125.0,109.0,5.0,2.0,2.0,11.0
138.0,109.0,4.0,2.0,1.0,12.0
137.0,111.0,6.0,1.0,1.0,12.0
127.0,111.0,6.0,2.0,1.0,11.0
136.0,120.0,4.0,2.0,1.0,11.0
152.0,134.0,3.0,2.0,1.0,10.0
138.0,156.0,3.0,3.0,1.0,13.0
116.0,139.0,2.0,2.0,2.0,6.0
107.0,119.0,2.0,2.0,1.0,14.0
115.0,114.0,3.0,2.0,1.0,13.0
140.0,70.0,2.0,1.0,1.0,17.0
150.0,143.0,6.0,1.0,1.0,14.0
130.0,138.0,3.0,1.0,1.0,15.0
119.0,137.0,2.0,1.0,1.0,12.0
138.0,118.0,2.0,1.0,1.0,12.0
136.0,107.0,2.0,2.0,1.0,11.0
121.0,208.0,2.0,1.0,1.0,12.0
119.0,125.0,2.0,1.0,1.0,10.0
120.0,137.0,3.0,0.0,1.0,10.0
124.0,125.0,2.0,1.0,1.0,13.0
128.0,177.0,3.0,1.0,1.0,14.0
146.0,136.0,6.0,6.0,1.0,12.0
97.0,115.0,5.0,4.0,2.0,12.0
101.0,95.0,5.0,6.0,2.0,10.0
109.0,88.0,5.0,3.0,1.0,9.0
139.0,87.0,7.0,11.0,2.0,13.0
143.0,71.0,10.0,5.0,1.0,13.0
96.0,95.0,5.0,4.0,1.0,14.0
103.0,87.0,5.0,4.0,1.0,10.0
135.0,93.0,5.0,4.0,1.0,12.0
84.0,96.0,6.0,5.0,1.0,13.0
73.0,76.0,5.0,5.0,1.0,13.0
126.0,56.0,5.0,5.0,1.0,14.0
135.0,83.0,16.0,6.0,1.0,12.0
83.0,170.0,14.0,9.0,1.0,14.0
164.0,81.0,11.0,6.0,1.0,13.0
184.0,593.0,6.0,6.0,1.0,15.0
114.0,90.0,34.0,6.0,1.0,13.0
111.0,70.0,12.0,6.0,1.0,12.0
133.0,77.0,9.0,5.0,1.0,12.0
113.0,78.0,12.0,0.0,1.0,11.0
101.0,63.0,26.0,0.0,1.0,10.0
90.0,63.0,6.0,0.0,1.0,11.0
93.0,37.0,7.0,0.0,1.0,11.0
116.0,34.0,5.0,0.0,1.0,10.0
119.0,51.0,16.0,0.0,1.0,12.0
104.0,127.0,17.0,0.0,1.0,12.0
112.0,104.0,10.0,0.0,1.0,11.0
141.0,76.0,8.0,0.0,1.0,12.0
139.0,153.0,6.0,1.0,1.0,12.0
104.0,125.0,8.0,1.0,2.0,13.0
89.0,76.0,6.0,0.0,1.0,13.0
116.0,91.0,17.0,1.0,1.0,11.0
128.0,117.0,6.0,0.0,1.0,12.0
111.0,165.0,11.0,1.0,1.0,13.0
184.0,126.0,6.0,0.0,1.0,12.0
95.0,89.0,26.0,7.0,1.0,17.0
164.0,39.0,9.0,5.0,1.0,12.0
138.0,117.0,8.0,8.0,1.0,10.0
122.0,95.0,9.0,6.0,1.0,10.0
123.0,79.0,6.0,7.0,2.0,13.0
122.0,81.0,6.0,6.0,2.0,12.0
83.0,76.0,8.0,6.0,1.0,11.0
100.0,55.0,7.0,5.0,1.0,12.0
128.0,70.0,2.0,5.0,2.0,11.0
117.0,94.0,6.0,7.0,3.0,10.0
107.0,104.0,4.0,9.0,3.0,11.0
119.0,111.0,5.0,9.0,2.0,11.0
135.0,164.0,7.0,7.0,2.0,10.0
127.0,176.0,5.0,9.0,2.0,10.0
104.0,129.0,5.0,10.0,2.0,11.0
113.0,108.0,8.0,10.0,2.0,11.0
122.0,128.0,9.0,12.0,3.0,11.0
134.0,130.0,8.0,13.0,3.0,10.0
